filename,reference,hypothesis,sample_wer_%,sample_cer_%
41901125.wav,I drink alcohol everyday,I drink alcohol every day,50.0,4.17
41901131.wav,The sun rose,The sun has risen,66.67,50.0
41901134.wav,The sweater has shrunk,The sweater is small,50.0,31.82
41901135.wav,The car hit the tree,The car hit the tree,0.0,0.0
41901139.wav,It rained very heavily.,It rained a lot,50.0,47.83
41901162.wav,what are these?,What are these?,33.33,6.67
41901170.wav,She is asking a question from us,She is asking a question from us,0.0,0.0
41901171.wav,I don’t enjoy it here,I am not going there,80.0,52.38
41901173.wav,You owe me 100 rupees,I have a 100 rupees loan on you,120.0,95.24
41901205.wav,Wind first went to the old woman’s house,The wind went to the old lady’s home.,50.0,40.0
41901280.wav,I am giving you a letter,I am giving you a letter,0.0,0.0
41901284.wav,This is a story,This is the story,25.0,20.0
41901288.wav,A child was born,A baby was born,25.0,31.25
41901296.wav,"During winter, they really enjoyed listening to stories on long nights","In the long winter nights, they enjoyed listening to stories",81.82,51.43
41901299.wav,She shouted at me,She yelled at me,25.0,29.41
41901310.wav,What did you see?,What did you see?,0.0,0.0
41901313.wav,Sit down,Sit down,0.0,0.0
41901332.wav,My father’s father was a spiritual mentor,My grandfather was a Khalipa,57.14,53.66
41901333.wav,Throw the comb to the back,Wash your hands before eating,100.0,88.46
41901339.wav,Where are you from?,Where are you from?,0.0,0.0
41901350.wav,Wind complaint to the bird.,The wind complained to the bird.,60.0,25.93
41901366.wav,He did not get her name.,He couldn’t figure out her name,66.67,58.33
41901367.wav,It is too cold this year.,It is freezing cold this year.,16.67,32.0
41901373.wav,There are so many stars in the sky,There are many stars in the sky,12.5,8.82
41901374.wav,"Sweet fire, burn that thorn","Sweet fire, burn that thorn.",20.0,3.7
41901376.wav,Une ka mila numan shuan gaichimi,Nice meeting you,100.0,84.38
41901381.wav,Come out,Come out,0.0,0.0
41901389.wav,I will leave after school,I will walk after school.,40.0,20.0
41901391.wav,Who will be there?,Who will help you there?,50.0,38.89
41901392.wav,"He’s a big, bulky guy",He is a tall boy,100.0,61.9
41901400.wav,I hid them,I hid them,0.0,0.0
41901401.wav,The milk got spilled,The milk boiled over.,50.0,50.0
41901407.wav,I asked her to boil the water,I told her to boil the water.,28.57,17.24
41906073.wav,The plane took off,The aeroplane flew,75.0,66.67
41906096.wav,Grandfather used to tell me that he always saw grandmother in his dreams,Grandfather used to tell me that he always saw his wife in his dreams,15.38,13.89
41906100.wav,The bird got really happy seeing the pearl and started singing its song,The bird was very happy to see the pearl and started singing,46.15,30.99
41906109.wav,He did not die,I am tired,100.0,78.57
41909216.wav,I’m taking care of the herd,I am giving milk to the sheep.,100.0,55.56
41909217.wav,I am hungry,I am hungry,0.0,0.0
41909256.wav,I am ill,I am ill,0.0,0.0
41909268.wav,The sun has risen,The sun has risen,0.0,0.0
41909278.wav,I am eating potatoes now,I am eating potatoes now,0.0,0.0
41909306.wav,I became happy seeing you,I am happy to see you.,80.0,44.0
41909314.wav,I hid her,I hid her,0.0,0.0
41909325.wav,There is one man,There is a man,25.0,18.75
41909800.wav,"Sit down,get settled","Sit down, please",66.67,45.0
41909810.wav,"From here, at the next turn, there’s a shop with a green door; you’ll find it there",There is a shop with a green door in the back of the road. You can buy it there.,105.88,68.67
41909818.wav,It’s been raining heavily since yesterday,It has been raining since yesterday.,66.67,29.27
41909822.wav,He made us fly in the plane,He flew in a plane,57.14,48.15
41909825.wav,Tell me the truth,Tell me the truth,0.0,0.0
41909835.wav,Congratulations to you,Congratulations,66.67,31.82
41909859.wav,hey say she is good at housework too,They say she is very good at home chores,50.0,44.44
P-009_Adp_411.wav,We are behind the house.,We are behind the house.,0.0,0.0
P-009_Adp_421.wav,She came from the mountain.,She came from the mountain.,0.0,0.0
P-009_Adp_422.wav,He fell from the tree.,She fell from the tree.,20.0,9.09
P-009_Adp_424.wav,She arrived from the city.,She arrived from the city.,0.0,0.0
P-009_Adp_432.wav,The bus stopped near the bridge.,The bus stopped near the bridge.,0.0,0.0
P-009_Adp_433.wav,The store is across the road.,The store is across the road.,0.0,0.0
P-009_Case_40.wav,Father bought a toy for his son.,Father bought a toy for his son.,0.0,0.0
P-009_Case_41.wav,He is working only for his family.,He is working only for his family.,0.0,0.0
P-009_Case_47.wav,We are at home.,We are at home.,0.0,0.0
P-009_Case_59.wav,I will play with my brother.,I will play with my brother.,0.0,0.0
P-009_Case_62.wav,He cut the meat with a knife.,He cut the meat with a knife.,0.0,0.0
P-009_Case_64.wav,She cooked food for her brother.,She cooked food for her brother.,0.0,0.0
P-009_Cau_319.wav,I made the girl ask the maid to clean the room.,I made the girl ask the maid to clean the room.,0.0,0.0
P-009_Cau_321.wav,Aqsa made him food.,Aqsa made him food.,0.0,0.0
P-009_Cau_323.wav,The house was burnt by the thieves.,The house was burnt by the thieves.,0.0,0.0
P-009_Cau_324.wav,"Because of bad weather, we could not go to the village.","Because of bad weather, we could not go to the village.",0.0,0.0
P-009_Cau_332.wav,The teacher made the students write the answer.,The teacher made the students write the answer.,0.0,0.0
P-009_Cau_333.wav,The rain made the road muddy.,The rain made the road muddy.,0.0,0.0
P-009_Cau_335.wav,The loud noise made the birds fly away.,The loud noise made the birds fly away.,0.0,0.0
P-009_Cau_341.wav,The heat made the ice melt.,The heat made the ice melt.,0.0,0.0
P-009_Cau_344.wav,The teacher made them read the story again.,The teacher made them read the story again.,0.0,0.0
P-009_Cls_190.wav,This log of wood is thick.,This is a very thick rope.,83.33,65.38
P-009_Cls_192.wav,Give me a small banana.,Give me a small banana.,0.0,0.0
P-009_Cls_197.wav,Tie them with a rope.,Tie them with a rope.,0.0,0.0
P-009_Cls_199.wav,There are two books on the table.,There are two books on the table.,0.0,0.0
P-009_Cls_203.wav,I have five cars.,I have five cars.,0.0,0.0
P-009_Cls_204.wav,I need ten dresses.,I need ten dresses.,0.0,0.0
P-009_Cls_205.wav,She ate four oranges.,She ate four oranges.,0.0,0.0
P-009_Cls_207.wav,He bought three pieces of cloth.,He bought three pieces of cloth.,0.0,0.0
P-009_Cls_211.wav,The shop has many kinds of flowers.,The shop has many kinds of flowers.,0.0,0.0
P-009_ECV_154.wav,She has gone outside the house.,She has gone outside the house.,0.0,0.0
P-009_ECV_159.wav,He fell down.,He fell down.,0.0,0.0
P-009_ECV_172.wav,"He stood up, picked the bag, and left.","He stood up, picked the bag, and left.",0.0,0.0
P-009_ECV_182.wav,I will go there and ask him.,I will go there and ask him.,0.0,0.0
P-009_Imp_468.wav,Sit down.,Sit down.,0.0,0.0
P-009_Imp_480.wav,Speak slowly.,Speak slowly.,0.0,0.0
P-009_Imp_490.wav,Wash your hands before eating.,Wash your hands before eating.,0.0,0.0
P-009_Imp_491.wav,Please wait a moment.,Please wait a moment.,0.0,0.0
P-009_Imp_496.wav,Bring the children inside.,Bring the children inside.,0.0,0.0
P-009_Int_220.wav,Which book do you want?,Which book do you want?,0.0,0.0
P-009_Int_221.wav,Whose bag is this?,Whose bag is this?,0.0,0.0
P-009_Int_222.wav,Did you eat?,Did you eat?,0.0,0.0
P-009_Int_227.wav,What did she say?,What did she say?,0.0,0.0
P-009_Int_229.wav,Why didn’t you come yesterday?,Why didn’t you come yesterday?,0.0,0.0
P-009_Int_230.wav,Do you have money?,Do you have money?,0.0,0.0
P-009_Int_232.wav,Where did they go last night?,Where did they go last night?,0.0,0.0
P-009_Int_233.wav,How long will you stay here?,How long will you stay here?,0.0,0.0
P-009_Int_239.wav,Why are they shouting?,Why are they shouting?,0.0,0.0
P-009_Int_346.wav,Where did they go?,Where did you go?,25.0,22.22
P-009_Int_354.wav,Are you feeling better now?,Are you feeling better now?,0.0,0.0
P-009_Int_361.wav,What are they doing with the knife?,What are they doing with the knife?,0.0,0.0
P-009_Int_374.wav,How many children came today?,How many children came today?,0.0,0.0
P-009_Neg_102.wav,I have not eaten.,I have not eaten.,0.0,0.0
P-009_Neg_103.wav,I had not eaten yet.,I had not eaten yet.,0.0,0.0
P-009_Neg_113.wav,I never drink juice.,I never drink juice.,0.0,0.0
P-009_Neg_118.wav,Ali is nowhere in the village.,Ali is nowhere in the village.,0.0,0.0
P-009_Neg_119.wav,Not even my sister believed me.,Not even my sister believed me.,0.0,0.0
P-009_Neg_120.wav,None of the children came.,None of the children came.,0.0,0.0
P-009_Neg_123.wav,If you don’t study you will fail.,If you don’t study you will fail.,0.0,0.0
P-009_Neg_95.wav,There is no water in the river.,There is no water in the river.,0.0,0.0
P-009_Neg_96.wav,He cannot sing.,He cannot sing.,0.0,0.0
P-009_Neg_97.wav,You may not go now.,You may not go now.,0.0,0.0
P-009_Pas_438.wav,The food was cooked.,The food was cooked.,0.0,0.0
P-009_Pas_442.wav,The letter was written.,The letter was written.,0.0,0.0
P-009_Pas_451.wav,The tree was cut down by the men.,The man cut the tree with an axe.,87.5,69.7
P-009_Pas_452.wav,The girl was taught by her mother.,The girl was taught by her mother.,0.0,0.0
P-009_Pas_458.wav,The plan was changed at the last minute.,The thief was caught red-handed.,75.0,60.0
P-009_Pas_463.wav,The vegetables are washed before cooking.,The vegetables are washed before cooking.,0.0,0.0
P-009_Pos_376.wav,I have a book.,I have a book.,0.0,0.0
P-009_Pos_387.wav,I have an illness.,I have an illness.,0.0,0.0
P-009_Pos_393.wav,The house has a small garden.,The house has a small garden.,0.0,0.0
P-009_Pos_398.wav,The river has clear water.,The river has clear water.,0.0,0.0
P-009_Pos_404.wav,I have work to do today.,I have work to do today.,0.0,0.0
P-009_Pro_244.wav,I am tired.,I am tired.,0.0,0.0
P-009_Pro_245.wav,You are late.,You are late.,0.0,0.0
P-009_Pro_251.wav,She gave it to me.,She gave it to me.,0.0,0.0
P-009_Pro_258.wav,They washed themselves.,They washed themselves.,0.0,0.0
P-009_Pro_266.wav,These are my clothes.,These are my clothes.,0.0,0.0
P-009_Pro_274.wav,He came yesterday.,She had a baby.,133.33,72.22
P-009_Ref_130.wav,They told me about themselves.,They told me about themselves.,0.0,0.0
P-009_Ref_132.wav,Muhammad and Ahmad looked at each other.,Muhammad and Ahmad looked at each other.,0.0,0.0
P-009_Ref_133.wav,We met each other.,We met each other.,0.0,0.0
P-009_Ref_135.wav,She spoke to herself quietly.,She speaks alone.,80.0,62.07
P-009_Ref_137.wav,They defended themselves in court.,They defended themselves in court.,0.0,0.0
P-009_Ref_138.wav,We introduced ourselves to the teacher.,We introduced ourselves to the teacher.,0.0,0.0
P-009_Ref_141.wav,He blamed himself for the mistake.,He blamed himself for the mistake.,0.0,0.0
P-009_Ref_142.wav,They prepared themselves for the exam.,They prepared themselves for the exam.,0.0,0.0
P-009_Ref_144.wav,He closed the door by himself.,He closed the door by himself.,0.0,0.0
P-009_Ref_150.wav,The two teams competed against each other.,The two teams competed against each other.,0.0,0.0
P-009_Ref_152.wav,The students shared their books with each other.,The students shared their books with each other.,0.0,0.0
P-009_Simple_11.wav,We cooked rice in the morning.,We cooked rice in the morning.,0.0,0.0
P-009_Simple_13a.wav,She (right here) said that the woman is sleeping on the floor.,She (right here) said that the woman is sleeping on the floor.,0.0,0.0
P-009_Simple_14.wav,I want to go to the town tonight.,I want to go to the town tonight.,0.0,0.0
P-009_Simple_16.wav,He (right here) tried to feed the elephant.,He (right here) tried to feed the elephant.,0.0,0.0
P-009_Simple_18.wav,I will go when my mother comes.,I will go when my mother comes.,0.0,0.0
P-009_Simple_5a.wav,Her (right here) name is Fatima.,Her (right here) name is Fatima.,0.0,0.0
P-009_Simple_7b.wav,She (not here) saw a man.,She (not here) saw a man.,0.0,0.0
P-009_TAM_68.wav,I walk to the field every day.,I walk to the field every day.,0.0,0.0
P-009_TAM_69.wav,I will go to Karachi on Sunday.,I will go to Karachi on Sunday.,0.0,0.0
P-009_TAM_72b.wav,We are headed to the market now.,We are headed to the market now.,0.0,0.0
P-009_TAM_74.wav,We could walk anywhere.,We could walk anywhere.,0.0,0.0
P-009_TAM_75.wav,You walk to school daily.,You walk to school daily.,0.0,0.0
P-009_TAM_86.wav,We used to walk together every evening.,We used to walk together every evening.,0.0,0.0
P-009_TAM_92.wav,Jemal is not walking tomorrow.,Jemal is not walking tomorrow.,0.0,0.0
P-009_Val_281.wav,The door opened.,The door opened.,0.0,0.0
P-009_Val_292.wav,The boy fell.,The boy fell.,0.0,0.0
P-009_Val_294.wav,The girl danced.,The girl danced.,0.0,0.0
P-009_Val_295.wav,The ice melted.,The ice melted.,0.0,0.0
P-009_Val_299.wav,The baby cried.,The baby cried.,0.0,0.0
P-009_Val_301.wav,The fire burned.,The fire burned.,0.0,0.0
P-009_Val_310.wav,The teacher spoke to the class.,The teacher spoke to the class.,0.0,0.0
P-009_Val_313.wav,The ball rolled.,The ball rolled.,0.0,0.0
P-016_Adp_410.wav,The book is on the chair.,The book is on the chair.,0.0,0.0
P-016_Adp_416.wav,He is standing outside the gate.,He is standing outside the gate.,0.0,0.0
P-016_Adp_417.wav,They are sitting beside me.,They are sitting beside me.,0.0,0.0
P-016_Adp_422.wav,He fell from the tree.,He fell from the tree.,0.0,0.0
P-016_Adp_425.wav,I will go with my friend.,I will go with my friend.,0.0,0.0
P-016_Adp_428.wav,They built the wall with stones.,They built the wall with stones.,0.0,0.0
P-016_Adp_431.wav,We walked through the forest.,We walked through the forest.,0.0,0.0
P-016_Adp_434.wav,The teacher stood in front of the class.,The teacher stood in front of the class.,0.0,0.0
P-016_Case_31.wav,He (not here) kicked the ball.,He (not here) kicked the ball.,0.0,0.0
P-016_Case_51.wav,My sister is in school.,My sister is in school.,0.0,0.0
P-016_Case_58.wav,Ali went with Ahmed.,Ali went with Ahmed.,0.0,0.0
P-016_Case_60.wav,He came with his friend.,He came with his friend.,0.0,0.0
P-016_Cau_315.wav,The nurse fed the baby.,The nurse fed the baby.,0.0,0.0
P-016_Cau_317.wav,I made the girl clean the room.,I made the girl clean the room.,0.0,0.0
P-016_Cau_319.wav,I made the girl ask the maid to clean the room.,I will clean up after my girl friend.,90.91,72.34
P-016_Cau_321.wav,Aqsa made him food.,Aqsa made him food.,0.0,0.0
P-016_Cau_324.wav,"Because of bad weather, we could not go to the village.","Because of bad weather, we could not go to the village.",0.0,0.0
P-016_Cau_326.wav,I am unable to walk.,I am unable to walk.,0.0,0.0
P-016_Cau_330.wav,The parents made the boy study.,The parents made the boy study.,0.0,0.0
P-016_Cau_334.wav,The cold weather made him sick.,The cold weather made him sick.,0.0,0.0
P-016_Cau_336.wav,The wind made the trees fall.,The wind made the trees fall.,0.0,0.0
P-016_Cau_342.wav,The smell made me feel sick.,The smell made me feel sick.,0.0,0.0
P-016_Cau_343.wav,The joke made everyone laugh.,The joke made everyone laugh.,0.0,0.0
P-016_Cls_189.wav,We need an electric wire.,We need an electric wire.,0.0,0.0
P-016_Cls_196.wav,Do not beat the student with a stick.,Do not beat the student with a stick.,0.0,0.0
P-016_Cls_198.wav,Go and buy some ripe fruits.,Go and buy some ripe fruits.,0.0,0.0
P-016_Cls_199.wav,There are two books on the table.,There are two books on the table.,0.0,0.0
P-016_Cls_201.wav,Give me three long objects.,Give me three long objects.,0.0,0.0
P-016_Cls_205.wav,She ate four oranges.,She ate four oranges.,0.0,0.0
P-016_Cls_208.wav,We need five sheets of paper.,We need five sheets of paper.,0.0,0.0
P-016_Cls_209.wav,She picked six small stones.,She picked six small stones.,0.0,0.0
P-016_ECV_156.wav,He died.,He died.,0.0,0.0
P-016_ECV_160.wav,He cleaned up the room.,He cleaned up the room.,0.0,0.0
P-016_ECV_161.wav,She called me.,She called me.,0.0,0.0
P-016_ECV_164.wav,Emaan kicked me and ran away.,Emaan kicked me and ran away.,0.0,0.0
P-016_ECV_168.wav,Hassan went to swim.,Hassan went to swim.,0.0,0.0
P-016_ECV_169.wav,"He came, sat, ate and went away.","He came, sat, ate and went away.",0.0,0.0
P-016_ECV_175.wav,Wash your hands before eating.,Wash your hands before eating.,0.0,0.0
P-016_ECV_176.wav,"After studying, he played outside.","After studying, he played outside.",0.0,0.0
P-016_Imp_466.wav,Come here.,Come here.,0.0,0.0
P-016_Imp_467.wav,Go there.,Go there.,0.0,0.0
P-016_Imp_471.wav,Look at me.,Look at me.,0.0,0.0
P-016_Imp_473.wav,Write your name.,Write your name.,0.0,0.0
P-016_Imp_475.wav,Close the window.,Close the window.,0.0,0.0
P-016_Imp_478.wav,Help me.,Help me.,0.0,0.0
P-016_Imp_490.wav,Wash your hands before eating.,Wash your hands before eating.,0.0,0.0
P-016_Imp_493.wav,Let them come inside.,Let them come inside.,0.0,0.0
P-016_Imp_494.wav,Let them speak.,Let them speak.,0.0,0.0
P-016_Int_216.wav,Who is coming with you?,Who is coming with you?,0.0,0.0
P-016_Int_217.wav,Why are you late?,Why are you late?,0.0,0.0
P-016_Int_221.wav,Whose bag is this?,Whose bag is this?,0.0,0.0
P-016_Int_223.wav,Can you help me?,Can you help me?,0.0,0.0
P-016_Int_232.wav,Where did they go last night?,Yesterday they (not here) went to the field.,133.33,106.9
P-016_Int_235.wav,Where should we meet?,Where should we meet?,0.0,0.0
P-016_Int_236.wav,Can she speak English?,Can she speak English?,0.0,0.0
P-016_Int_238.wav,Who will help us tomorrow?,Who will help us tomorrow?,0.0,0.0
P-016_Int_240.wav,When did you see him?,When did you see him?,0.0,0.0
P-016_Int_346.wav,Where did they go?,Where did they go?,0.0,0.0
P-016_Int_354.wav,Are you feeling better now?,Are you feeling better now?,0.0,0.0
P-016_Int_358.wav,What are they looking at?,What are they looking at?,0.0,0.0
P-016_Int_361.wav,What are they doing with the knife?,What are they doing with the knife?,0.0,0.0
P-016_Int_362.wav,Where did she come from?,Where did she come from?,0.0,0.0
P-016_Int_363.wav,Who are you going with?,Who are you going with?,0.0,0.0
P-016_Int_366.wav,Whose child is this?,Whose child is this?,0.0,0.0
P-016_Int_369.wav,Should we go now?,Should we go now?,0.0,0.0
P-016_Neg_103.wav,I had not eaten yet.,I had not eaten yet.,0.0,0.0
P-016_Neg_108.wav,Do not enter.,Do not enter.,0.0,0.0
P-016_Neg_113.wav,I never drink juice.,I never drink juice.,0.0,0.0
P-016_Neg_116.wav,Nothing can be done about his illness.,Nothing can be done about his illness.,0.0,0.0
P-016_Pas_440.wav,The house was built last year.,The house was built last year.,0.0,0.0
P-016_Pas_442.wav,The letter was written.,The letter was written.,0.0,0.0
P-016_Pas_446.wav,The glass was broken.,The glass was broken.,0.0,0.0
P-016_Pas_458.wav,The plan was changed at the last minute.,The girl was caught red-handed.,75.0,57.5
P-016_Pas_461.wav,The rules must be followed.,The rules must be followed.,0.0,0.0
P-016_Pos_384.wav,They have no money.,They have no money.,0.0,0.0
P-016_Pos_386.wav,She has a headache.,She has a headache.,0.0,0.0
P-016_Pos_398.wav,The river has clear water.,The river has clear water.,0.0,0.0
P-016_Pos_401.wav,My brother has a bicycle.,My brother has a bicycle.,0.0,0.0
P-016_Pos_404.wav,I have work to do today.,I have work to do today.,0.0,0.0
P-016_Pro_249.wav,We will go tomorrow.,We will go tomorrow.,0.0,0.0
P-016_Pro_250.wav,I saw them.,I saw them.,0.0,0.0
P-016_Pro_254.wav,This is my house.,This is my house.,0.0,0.0
P-016_Pro_266.wav,These are my clothes.,These are my clothes.,0.0,0.0
P-016_Pro_268.wav,Come here.,Come here.,0.0,0.0
P-016_Pro_270.wav,Put it over there.,Put it over there.,0.0,0.0
P-016_Pro_271.wav,Leave it over there.,Leave it over there.,0.0,0.0
P-016_Pro_274.wav,He came yesterday.,He came yesterday.,0.0,0.0
P-016_Pro_276.wav,I will start now.,I will start now.,0.0,0.0
P-016_Ref_124.wav,I like myself.,I like myself.,0.0,0.0
P-016_Ref_125.wav,We saw ourselves in the mirror.,We saw ourselves in the mirror.,0.0,0.0
P-016_Ref_128.wav,Nobody loved her.,Nobody loved her.,0.0,0.0
P-016_Ref_129.wav,Who praises himself?,Who praises himself?,0.0,0.0
P-016_Ref_141.wav,He blamed himself for the mistake.,They prepared themselves for the exam.,66.67,55.88
P-016_Simple_18.wav,I will go when my mother comes.,I will go when my mother comes.,0.0,0.0
P-016_Simple_2.wav,The monkey is on the tree.,The monkey is on the tree.,0.0,0.0
P-016_Simple_26.wav,I told him (not here) that she is my sister.,I told him (not here) that she is my sister.,0.0,0.0
P-016_Simple_29.wav,"Although it was late, they (not here) kept working.","Although it was late, they (not here) kept working.",0.0,0.0
P-016_TAM_75.wav,You walk to school daily.,You walk to school daily.,0.0,0.0
P-016_TAM_82.wav,I might walk there later.,I might walk there later.,0.0,0.0
P-016_TAM_87.wav,She has already walked to the village.,She has already walked to the village.,0.0,0.0
P-016_TAM_91.wav,"If it rains, we will walk later.","If it rains, we will walk later.",0.0,0.0
P-016_TAM_93.wav,They might have walked without us.,They might have walked without us.,0.0,0.0
P-016_Val_285.wav,The pot broke.,The pot broke.,0.0,0.0
P-016_Val_286.wav,He broke the pot.,He broke the pot.,0.0,0.0
P-016_Val_295.wav,The ice melted.,The ice melted.,0.0,0.0
P-016_Val_304.wav,The teacher made the boy sit and study.,The teacher made the boy sit and study.,0.0,0.0
P-016_Val_307.wav,He swam.,He swam.,0.0,0.0
P-016_Val_311.wav,The window opened by itself.,The window opened by itself.,0.0,0.0
P-024_Case_48.wav,He wrote the letter with a pen.,He wrote the letter with a pen.,0.0,0.0
P-024_Case_52.wav,Fatima lives in Pakistan.,Fatima lives in Pakistan.,0.0,0.0
P-024_Cau_318.wav,I made the girl clean the room with a broom.,I made the girl clean the room with a broom.,0.0,0.0
P-024_Cau_326.wav,I am unable to walk.,I am unable to walk.,0.0,0.0
P-024_Cau_330.wav,The parents made the boy study.,The parents made the boy study.,0.0,0.0
P-024_Cau_334.wav,The cold weather made him sick.,The cold weather made him sick.,0.0,0.0
P-024_Cau_339.wav,We made him carry the bags.,We made him carry the bags.,0.0,0.0
P-024_Cls_184.wav,My family has a goat and a chicken.,Our family has a goat and a chicken.,12.5,8.57
P-024_Cls_191.wav,This is a door.,This is a door.,0.0,0.0
P-024_Cls_197.wav,Tie them with a rope.,Tie them with a rope.,0.0,0.0
P-024_Cls_200.wav,The labourer needs fifty stones to build a house.,The labourer needs fifty stones to build a house.,0.0,0.0
P-024_Cls_207.wav,He bought three pieces of cloth.,He bought three pieces of cloth.,0.0,0.0
P-024_ECV_160.wav,He cleaned up the room.,He cleaned up the room.,0.0,0.0
P-024_ECV_162.wav,He blessed us.,He blessed us.,0.0,0.0
P-024_ECV_167.wav,I came here to see you.,I came here to see you.,0.0,0.0
P-024_ECV_172.wav,"He stood up, picked the bag, and left.","He stood up, picked the bag, and left.",0.0,0.0
P-024_ECV_173.wav,She cooked food and served the children.,She cooked food and served the children.,0.0,0.0
P-024_ECV_174.wav,They shouted and clapped.,They shouted and clapped.,0.0,0.0
P-024_ECV_177.wav,She went to the market to buy vegetables.,She went to the market to buy vegetables.,0.0,0.0
P-024_Int_220.wav,Which book do you want?,Which book do you want?,0.0,0.0
P-024_Int_353.wav,Do you trust him?,Do you trust him?,0.0,0.0
P-024_Int_354.wav,Are you feeling better now?,Are you feeling better now?,0.0,0.0
P-024_Int_361.wav,What are they doing with the knife?,What are they doing with the knife?,0.0,0.0
P-024_Int_366.wav,Whose child is this?,Whose child is this?,0.0,0.0
P-024_Int_367.wav,Do they have enough food?,Don’t they know the truth?,80.0,72.0
P-024_Int_370.wav,May I open the door?,May I open the door?,0.0,0.0
P-024_Neg_101.wav,They have finished their job.,They have finished their job.,0.0,0.0
P-024_Neg_109.wav,I have no money.,I have no money.,0.0,0.0
P-024_Neg_110.wav,I did not play today.,I did not play today.,0.0,0.0
P-024_Neg_113.wav,I never drink juice.,I never drink juice.,0.0,0.0
P-024_Neg_117.wav,Nobody saw me.,Nobody saw me.,0.0,0.0
P-024_Neg_119.wav,Not even my sister believed me.,Not even my sister believed me.,0.0,0.0
P-024_Neg_94a.wav,He (right here) is not a teacher.,He (right here) is not a teacher.,0.0,0.0
P-024_Neg_94d.wav,She (not here) is not a teacher.,She (not here) is not a teacher.,0.0,0.0
P-024_Pos_381.wav,She has a daughter.,She has a daughter.,0.0,0.0
P-024_Pos_385.wav,I have some time today.,I have some time today.,0.0,0.0
P-024_Pos_387.wav,I have an illness.,I have an illness.,0.0,0.0
P-024_Pos_397.wav,Their shop has fresh bread.,Their shop has fresh bread.,0.0,0.0
P-024_Pos_404.wav,I have work to do today.,I have work today.,33.33,25.0
P-024_Pos_405.wav,They have everything they need.,They have everything they need.,0.0,0.0
P-024_Pro_244.wav,I am tired.,I am tired.,0.0,0.0
P-024_Pro_253.wav,He helped us.,He helped us.,0.0,0.0
P-024_Pro_256.wav,Their car is new.,Their car is new.,0.0,0.0
P-024_Pro_261.wav,She cut it with a knife.,She cut it with a knife.,0.0,0.0
