filename,reference,hypothesis,references_normalized,hypothesis_normalized,sample_wer_%,sample_cer_%
41896294.wav,I am your husband,I am your husband,i am your husband,i am your husband,0.0,0.0
41896304.wav,The leaf in my hand tore.,The leaf that was in my hand tore apart,the leaf in my hand tore,the leaf that was in my hand tore apart,50.0,62.5
41896309.wav,What did it do?,What did he do?,what did it do,what did he do,25.0,14.29
41896312.wav,From where was a girl matched for him?,Where is his fiance from?,from where was a girl matched for him,where is his fiance from,87.5,56.76
41901108.wav,A cow dies every day,One cow dies everyday,a cow dies every day,one cow dies everyday,60.0,20.0
41901129.wav,He used to eat one child every day,He ate one infant each day,he used to eat one child every day,he ate one infant each day,62.5,55.88
41901138.wav,I want to leave/go,I want to go,i want to leavego,i want to go,25.0,29.41
41901148.wav,We neither ate nor slept,We neither ate nor slept,we neither ate nor slept,we neither ate nor slept,0.0,0.0
41901149.wav,The sun has risen,The sun has rise,the sun has risen,the sun has rise,25.0,5.88
41901162.wav,what are these?,What are these?,what are these,what are these,0.0,0.0
41901170.wav,She is asking a question from us,She is asking us question,she is asking a question from us,she is asking us question,42.86,31.25
41901171.wav,I don’t enjoy it here,I am not enjoying it here.,i don’t enjoy it here,i am not enjoying it here,60.0,33.33
41901284.wav,This is a story,This is a story,this is a story,this is a story,0.0,0.0
41901291.wav,These men came yesterday,These men came yesterday,these men came yesterday,these men came yesterday,0.0,0.0
41901293.wav,Electricity will be available in Hunza,There will be electricity in Hunza,electricity will be available in hunza,there will be electricity in hunza,33.33,52.63
41901296.wav,"During winter, they really enjoyed listening to stories on long nights",Stories really entertained them in the long winter night,during winter they really enjoyed listening to stories on long nights,stories really entertained them in the long winter night,90.91,63.77
41901303.wav,Get well soon,Get well soon,get well soon,get well soon,0.0,0.0
41901317.wav,Grandfather was very tall,Grandpa was too tall,grandfather was very tall,grandpa was too tall,50.0,36.0
41901342.wav,My Houses are bigger than all.,My house is the bigger than all the houses,my houses are bigger than all,my house is the bigger than all the houses,83.33,51.72
41901350.wav,Wind complaint to the bird.,The wind complained to the bird.,wind complaint to the bird,the wind complained to the bird,40.0,23.08
41901366.wav,He did not get her name.,He couldn’t figure out her name.,he did not get her name,he couldn’t figure out her name,50.0,56.52
41901373.wav,There are so many stars in the sky,There are many stars in the sky.,there are so many stars in the sky,there are many stars in the sky,12.5,8.82
41901376.wav,Une ka mila numan shuan gaichimi,Nice meeting you.,une ka mila numan shuan gaichimi,nice meeting you,100.0,81.25
41901377.wav,"No, thank you, I’m just looking","No, I’m feeling better now",no thank you i’m just looking,no i’m feeling better now,83.33,75.86
41901389.wav,I will leave after school,I will walk after school,i will leave after school,i will walk after school,20.0,16.0
41901392.wav,"He’s a big, bulky guy",He is a naughty boy,he’s a big bulky guy,he is a naughty boy,100.0,60.0
41901393.wav,I love snowfall,I like snowfall,i love snowfall,i like snowfall,33.33,13.33
41901394.wav,That red book on the table is mine,The red book on the table is mine,that red book on the table is mine,the red book on the table is mine,12.5,5.88
41901401.wav,The milk got spilled,The milk boiled over,the milk got spilled,the milk boiled over,50.0,45.0
41901407.wav,I asked her to boil the water,I asked her to boil water,i asked her to boil the water,i asked her to boil water,14.29,13.79
41901409.wav,He was mad at me,He got mad at me,he was mad at me,he got mad at me,20.0,18.75
41906073.wav,The plane took off,The aeroplane flew,the plane took off,the aeroplane flew,75.0,66.67
41906096.wav,Grandfather used to tell me that he always saw grandmother in his dreams,My grandfather used to say that he always saw his wife in his dreams.,grandfather used to tell me that he always saw grandmother in his dreams,my grandfather used to say that he always saw his wife in his dreams,38.46,27.78
41906109.wav,He did not die,I am dying,he did not die,i am dying,100.0,78.57
41909219.wav,Listen to me,Listen to me,listen to me,listen to me,0.0,0.0
41909243.wav,"Go straight from here, it will come on the left",Go straight and your destination will be on the left.,go straight from here it will come on the left,go straight and your destination will be on the left,40.0,41.3
41909268.wav,The sun has risen,The sun rose.,the sun has risen,the sun rose,50.0,35.29
41909270.wav,There’s a knock on the door,There is a knock on the door.,there’s a knock on the door,there is a knock on the door,33.33,7.41
41909276.wav,The fire got angry,The fire became very angry,the fire got angry,the fire became very angry,50.0,61.11
41909278.wav,I am eating potatoes now,I do eat potatoes now,i am eating potatoes now,i do eat potatoes now,40.0,20.83
41909306.wav,I became happy seeing you,I am happy to see you.,i became happy seeing you,i am happy to see you,60.0,40.0
41909325.wav,There is one man,He is a man,there is one man,he is a man,50.0,37.5
41909804.wav,I am eating potatoes now,I am eating potatoes now,i am eating potatoes now,i am eating potatoes now,0.0,0.0
41909810.wav,"From here, at the next turn, there’s a shop with a green door; you’ll find it there","Go straight from here, in the corner there is a shop with a green door. You will get it there.",from here at the next turn there’s a shop with a green door you’ll find it there,go straight from here in the corner there is a shop with a green door you will get it there,52.94,38.75
41909812.wav,It a good day,Today is a good day.,it a good day,today is a good day,50.0,53.85
41909818.wav,It’s been raining heavily since yesterday,It has been raining since yesterday.,it’s been raining heavily since yesterday,it has been raining since yesterday,50.0,26.83
41909822.wav,He made us fly in the plane,He flew us in an airplane,he made us fly in the plane,he flew us in an airplane,57.14,44.44
41909825.wav,Tell me the truth,Tell me the truth,tell me the truth,tell me the truth,0.0,0.0
41909835.wav,Congratulations to you,Congratulations,congratulations to you,congratulations,66.67,31.82
41909842.wav,There are potatoes in this shopper,There are potatoes in this bag,there are potatoes in this shopper,there are potatoes in this bag,16.67,20.59
41909848.wav,The girl went running to hit the cat,"She ran towards me, hit me with a stone and left.",the girl went running to hit the cat,she ran towards me hit me with a stone and left,137.5,91.67
41909851.wav,Who’s there?,Who is it?,who’s there,who is it,150.0,63.64
P-009_Adp_408.wav,They are on the roof.,They are on the roof.,they are on the roof,they are on the roof,0.0,0.0
P-009_Adp_432.wav,The bus stopped near the bridge.,The bus stopped near the bridge.,the bus stopped near the bridge,the bus stopped near the bridge,0.0,0.0
P-009_Case_45.wav,She wrote with a pen.,She wrote with a pen.,she wrote with a pen,she wrote with a pen,0.0,0.0
P-009_Case_47.wav,We are at home.,We are at home.,we are at home,we are at home,0.0,0.0
P-009_Case_56.wav,I shall go to the north tomorrow.,I shall go to the north tomorrow.,i shall go to the north tomorrow,i shall go to the north tomorrow,0.0,0.0
P-009_Case_58.wav,Ali went with Ahmed.,Ali went with Ahmed.,ali went with ahmed,ali went with ahmed,0.0,0.0
P-009_Case_62.wav,He cut the meat with a knife.,He cut the meat with a knife.,he cut the meat with a knife,he cut the meat with a knife,0.0,0.0
P-009_Case_63.wav,The children came from the river.,The children came from the river.,the children came from the river,the children came from the river,0.0,0.0
P-009_Cau_316.wav,Mother made me go outside.,Mother made me go outside.,mother made me go outside,mother made me go outside,0.0,0.0
P-009_Cau_323.wav,The house was burnt by the thieves.,The house was burnt by the thieves.,the house was burnt by the thieves,the house was burnt by the thieves,0.0,0.0
P-009_Cau_325.wav,The chair was broken by the children.,The chair was broken by the children.,the chair was broken by the children,the chair was broken by the children,0.0,0.0
P-009_Cau_333.wav,The rain made the road muddy.,The rain made the road muddy.,the rain made the road muddy,the rain made the road muddy,0.0,0.0
P-009_Cau_334.wav,The cold weather made him sick.,The cold weather made him sick.,the cold weather made him sick,the cold weather made him sick,0.0,0.0
P-009_Cau_341.wav,The heat made the ice melt.,The heat made the ice melt.,the heat made the ice melt,the heat made the ice melt,0.0,0.0
P-009_Cau_344.wav,The teacher made them read the story again.,The teacher made them read the story again.,the teacher made them read the story again,the teacher made them read the story again,0.0,0.0
P-009_Cls_187.wav,This is a tall tree.,This is a tall tree.,this is a tall tree,this is a tall tree,0.0,0.0
P-009_Cls_191.wav,This is a door.,This is a door.,this is a door,this is a door,0.0,0.0
P-009_Cls_197.wav,Tie them with a rope.,Tie them with a rope.,tie them with a rope,tie them with a rope,0.0,0.0
P-009_Cls_199.wav,There are two books on the table.,There are two books on the table.,there are two books on the table,there are two books on the table,0.0,0.0
P-009_Cls_205.wav,She ate four oranges.,She ate four oranges.,she ate four oranges,she ate four oranges,0.0,0.0
P-009_ECV_159.wav,He fell down.,He fell down.,he fell down,he fell down,0.0,0.0
P-009_ECV_161.wav,She called me.,She called me.,she called me,she called me,0.0,0.0
P-009_ECV_172.wav,"He stood up, picked the bag, and left.","He stood up, picked the bag, and left.",he stood up picked the bag and left,he stood up picked the bag and left,0.0,0.0
P-009_ECV_173.wav,She cooked food and served the children.,She cooked food and served the children.,she cooked food and served the children,she cooked food and served the children,0.0,0.0
P-009_ECV_176.wav,"After studying, he played outside.","After studying, he played outside.",after studying he played outside,after studying he played outside,0.0,0.0
P-009_ECV_180.wav,He looked at me and smiled.,He looked at me and smiled.,he looked at me and smiled,he looked at me and smiled,0.0,0.0
P-009_Imp_479.wav,Wait here.,Wait here.,wait here,wait here,0.0,0.0
P-009_Imp_480.wav,Speak slowly.,Speak slowly.,speak slowly,speak slowly,0.0,0.0
P-009_Imp_482.wav,Do not touch that.,Do not touch that.,do not touch that,do not touch that,0.0,0.0
P-009_Imp_484.wav,Do not run inside.,Did they not walk inside?,do not run inside,did they not walk inside,75.0,64.71
P-009_Imp_486.wav,Go and bring milk.,Go and bring milk.,go and bring milk,go and bring milk,0.0,0.0
P-009_Imp_491.wav,Please wait a moment.,Please wait a moment.,please wait a moment,please wait a moment,0.0,0.0
P-009_Imp_495.wav,Let her sit here.,Let her sit here.,let her sit here,let her sit here,0.0,0.0
P-009_Imp_496.wav,Bring the children inside.,Bring the children inside.,bring the children inside,bring the children inside,0.0,0.0
P-009_Int_223.wav,Can you help me?,Can you help me?,can you help me,can you help me,0.0,0.0
P-009_Int_224.wav,Will he come tomorrow?,Will he come tomorrow?,will he come tomorrow,will he come tomorrow,0.0,0.0
P-009_Int_226.wav,Do you know her?,Do you know her?,do you know her,do you know her,0.0,0.0
P-009_Int_227.wav,What did she say?,What did she say?,what did she say,what did she say,0.0,0.0
P-009_Int_232.wav,Where did they go last night?,Where did they go last night?,where did they go last night,where did they go last night,0.0,0.0
P-009_Int_235.wav,Where should we meet?,Where should we meet?,where should we meet,where should we meet,0.0,0.0
P-009_Int_239.wav,Why are they shouting?,Why are they shouting?,why are they shouting,why are they shouting,0.0,0.0
P-009_Int_354.wav,Are you feeling better now?,Are you feeling better now?,are you feeling better now,are you feeling better now,0.0,0.0
P-009_Int_365.wav,Do you have a headache?,Do you have a headache?,do you have a headache,do you have a headache,0.0,0.0
P-009_Int_366.wav,Whose child is this?,Whose child is this?,whose child is this,whose child is this,0.0,0.0
P-009_Neg_104.wav,He left without informing anyone.,He left without informing anyone.,he left without informing anyone,he left without informing anyone,0.0,0.0
P-009_Neg_110.wav,I did not play today.,I did not play today.,i did not play today,i did not play today,0.0,0.0
P-009_Neg_122.wav,The bird is no longer on the tree.,The bird is no longer on the tree.,the bird is no longer on the tree,the bird is no longer on the tree,0.0,0.0
P-009_Neg_95.wav,There is no water in the river.,There is no water in the river.,there is no water in the river,there is no water in the river,0.0,0.0
P-009_Neg_96.wav,He cannot sing.,He cannot sing.,he cannot sing,he cannot sing,0.0,0.0
P-009_Neg_97.wav,You may not go now.,You may not go now.,you may not go now,you may not go now,0.0,0.0
P-009_Pas_438.wav,The food was cooked.,The food was cooked.,the food was cooked,the food was cooked,0.0,0.0
P-009_Pas_439.wav,The food was cooked by her.,The food was cooked by her.,the food was cooked by her,the food was cooked by her,0.0,0.0
P-009_Pas_441.wav,The house was built by them.,The house was built by them.,the house was built by them,the house was built by them,0.0,0.0
P-009_Pas_442.wav,The letter was written.,The letter was written.,the letter was written,the letter was written,0.0,0.0
P-009_Pas_448.wav,The rice will be cooked.,The rice will be cooked.,the rice will be cooked,the rice will be cooked,0.0,0.0
P-009_Pas_451.wav,The tree was cut down by the men.,The man cut the tree with an axe.,the tree was cut down by the men,the man cut the tree with an axe,87.5,71.88
P-009_Pas_452.wav,The girl was taught by her mother.,The girl was taught by her mother.,the girl was taught by her mother,the girl was taught by her mother,0.0,0.0
P-009_Pas_455.wav,The baby was carried.,The baby cries.,the baby was carried,the baby cries,50.0,35.0
P-009_Pas_463.wav,The vegetables are washed before cooking.,The vegetables are washed before cooking.,the vegetables are washed before cooking,the vegetables are washed before cooking,0.0,0.0
P-009_Pas_464.wav,The bridge was destroyed by the flood.,The bridge was destroyed by the flood.,the bridge was destroyed by the flood,the bridge was destroyed by the flood,0.0,0.0
P-009_Pos_377.wav,She has a new phone.,She has a new phone.,she has a new phone,she has a new phone,0.0,0.0
P-009_Pos_378.wav,They have a car.,They have a car.,they have a car,they have a car,0.0,0.0
P-009_Pos_380.wav,We have three goats.,We have three goats.,we have three goats,we have three goats,0.0,0.0
P-009_Pos_381.wav,She has a daughter.,She has a daughter.,she has a daughter,she has a daughter,0.0,0.0
P-009_Pos_392.wav,The school has many teachers.,The school has many teachers.,the school has many teachers,the school has many teachers,0.0,0.0
P-009_Pos_398.wav,The river has clear water.,The river has clear water.,the river has clear water,the river has clear water,0.0,0.0
P-009_Pro_245.wav,You are late.,You are late.,you are late,you are late,0.0,0.0
P-009_Pro_246.wav,She is sleeping.,She is sleeping.,she is sleeping,she is sleeping,0.0,0.0
P-009_Pro_251.wav,She gave it to me.,She gave it to me.,she gave it to me,she gave it to me,0.0,0.0
P-009_Pro_255.wav,That is your book.,That is your book.,that is your book,that is your book,0.0,0.0
P-009_Pro_265.wav,That is a big tree.,That is a big tree.,that is a big tree,that is a big tree,0.0,0.0
P-009_Pro_274.wav,He came yesterday.,He came yesterday.,he came yesterday,he came yesterday,0.0,0.0
P-009_Pro_277.wav,We will meet later.,We will meet later.,we will meet later,we will meet later,0.0,0.0
P-009_Pro_278.wav,They already left.,They already left.,they already left,they already left,0.0,0.0
P-009_Ref_132.wav,Muhammad and Ahmad looked at each other.,Muhammad and Ahmad looked at each other.,muhammad and ahmad looked at each other,muhammad and ahmad looked at each other,0.0,0.0
P-009_Ref_133.wav,We met each other.,We met each other.,we met each other,we met each other,0.0,0.0
P-009_Ref_137.wav,They defended themselves in court.,They defended themselves in court.,they defended themselves in court,they defended themselves in court,0.0,0.0
P-009_Ref_140.wav,She taught herself to read.,She taught herself to read.,she taught herself to read,she taught herself to read,0.0,0.0
P-009_Ref_150.wav,The two teams competed against each other.,The two teams competed against each other.,the two teams competed against each other,the two teams competed against each other,0.0,0.0
P-009_Simple_13a.wav,She (right here) said that the woman is sleeping on the floor.,She (right here) said that the woman is sleeping on the floor.,she right here said that the woman is sleeping on the floor,she right here said that the woman is sleeping on the floor,0.0,0.0
P-009_Simple_14.wav,I want to go to the town tonight.,I want to go to the town tonight.,i want to go to the town tonight,i want to go to the town tonight,0.0,0.0
P-009_Simple_18.wav,I will go when my mother comes.,I will go when my mother comes.,i will go when my mother comes,i will go when my mother comes,0.0,0.0
P-009_Simple_28.wav,We waited until the bus arrived.,We waited until the bus arrived.,we waited until the bus arrived,we waited until the bus arrived,0.0,0.0
P-009_Simple_4.wav,I am Ali.,I am Ali.,i am ali,i am ali,0.0,0.0
P-009_Simple_5a.wav,Her (right here) name is Fatima.,Her (right here) name is Fatima.,her right here name is fatima,her right here name is fatima,0.0,0.0
P-009_Simple_7b.wav,She (not here) saw a man.,She (not here) saw a man.,she not here saw a man,she not here saw a man,0.0,0.0
P-009_TAM_67.wav,I fell down when she pushed me.,I fell down when she pushed me.,i fell down when she pushed me,i fell down when she pushed me,0.0,0.0
P-009_TAM_68.wav,I walk to the field every day.,I walk to the field every day.,i walk to the field every day,i walk to the field every day,0.0,0.0
P-009_TAM_71.wav,I could have taken the bus if I had money.,I could have taken the bus if I had money.,i could have taken the bus if i had money,i could have taken the bus if i had money,0.0,0.0
P-009_TAM_72b.wav,We are headed to the market now.,We are headed to the market now.,we are headed to the market now,we are headed to the market now,0.0,0.0
P-009_TAM_87.wav,She has already walked to the village.,She has already walked to the village.,she has already walked to the village,she has already walked to the village,0.0,0.0
P-009_Val_281.wav,The door opened.,The door opened.,the door opened,the door opened,0.0,0.0
P-009_Val_290.wav,They turned off the light.,They turned off the light.,they turned off the light,they turned off the light,0.0,0.0
P-009_Val_294.wav,The girl danced.,The girl danced.,the girl danced,the girl danced,0.0,0.0
P-009_Val_296.wav,The man ran.,The man ran.,the man ran,the man ran,0.0,0.0
P-009_Val_301.wav,The fire burned.,The fire burned.,the fire burned,the fire burned,0.0,0.0
P-009_Val_302.wav,They burned the firewood.,They burned the firewood.,they burned the firewood,they burned the firewood,0.0,0.0
P-009_Val_310.wav,The teacher spoke to the class.,The teacher spoke to the class.,the teacher spoke to the class,the teacher spoke to the class,0.0,0.0
P-009_Val_313.wav,The ball rolled.,The ball rolled.,the ball rolled,the ball rolled,0.0,0.0
P-016_Adp_415.wav,The key is inside the box.,The key is inside the box.,the key is inside the box,the key is inside the box,0.0,0.0
P-016_Adp_422.wav,He fell from the tree.,He fell from the tree.,he fell from the tree,he fell from the tree,0.0,0.0
P-016_Adp_428.wav,They built the wall with stones.,They built the wall with stones.,they built the wall with stones,they built the wall with stones,0.0,0.0
P-016_Adp_429.wav,The school is far from here.,The school is far from here.,the school is far from here,the school is far from here,0.0,0.0
P-016_Adp_431.wav,We walked through the forest.,We walked through the forest.,we walked through the forest,we walked through the forest,0.0,0.0
P-016_Case_31.wav,He (not here) kicked the ball.,He (not here) kicked the ball.,he not here kicked the ball,he not here kicked the ball,0.0,0.0
P-016_Case_46.wav,My sister is in school.,My sister is in school.,my sister is in school,my sister is in school,0.0,0.0
P-016_Case_48.wav,He wrote the letter with a pen.,He wrote the letter with a pen.,he wrote the letter with a pen,he wrote the letter with a pen,0.0,0.0
P-016_Case_51.wav,My sister is in school.,My sister is in school.,my sister is in school,my sister is in school,0.0,0.0
P-016_Case_53.wav,Leaves are falling down from the tree.,Leaves are falling down from the tree.,leaves are falling down from the tree,leaves are falling down from the tree,0.0,0.0
P-016_Case_55.wav,He is in the house.,He is in the house.,he is in the house,he is in the house,0.0,0.0
P-016_Case_60.wav,He came with his friend.,He came with his friend.,he came with his friend,he came with his friend,0.0,0.0
P-016_Cau_315.wav,The nurse fed the baby.,The nurse fed the baby.,the nurse fed the baby,the nurse fed the baby,0.0,0.0
P-016_Cau_318.wav,I made the girl clean the room with a broom.,I made the girl clean the room with a broom.,i made the girl clean the room with a broom,i made the girl clean the room with a broom,0.0,0.0
P-016_Cau_319.wav,I made the girl ask the maid to clean the room.,I made the girl ask the maid to clean the room.,i made the girl ask the maid to clean the room,i made the girl ask the maid to clean the room,0.0,0.0
P-016_Cau_321.wav,Aqsa made him food.,Aqsa made him food.,aqsa made him food,aqsa made him food,0.0,0.0
P-016_Cau_324.wav,"Because of bad weather, we could not go to the village.","Because of bad weather, we could not go to the village.",because of bad weather we could not go to the village,because of bad weather we could not go to the village,0.0,0.0
P-016_Cau_326.wav,I am unable to walk.,I am unable to walk.,i am unable to walk,i am unable to walk,0.0,0.0
P-016_Cau_330.wav,The parents made the boy study.,The parents made the boy study.,the parents made the boy study,the parents made the boy study,0.0,0.0
P-016_Cau_334.wav,The cold weather made him sick.,The cold weather made him sick.,the cold weather made him sick,the cold weather made him sick,0.0,0.0
P-016_Cau_336.wav,The wind made the trees fall.,The wind made the trees fall.,the wind made the trees fall,the wind made the trees fall,0.0,0.0
P-016_Cau_337.wav,The doctor made me take medicine.,The birds shared their food.,the doctor made me take medicine,the birds shared their food,83.33,71.88
P-016_Cau_340.wav,They made her clean the house.,They made her clean the house.,they made her clean the house,they made her clean the house,0.0,0.0
P-016_Cau_343.wav,The joke made everyone laugh.,The joke made everyone laugh.,the joke made everyone laugh,the joke made everyone laugh,0.0,0.0
P-016_Cls_196.wav,Do not beat the student with a stick.,Do not beat the student with a stick.,do not beat the student with a stick,do not beat the student with a stick,0.0,0.0
P-016_Cls_199.wav,There are two books on the table.,There are two books on the table.,there are two books on the table,there are two books on the table,0.0,0.0
P-016_Cls_202.wav,Give me one apple.,Give me one apple.,give me one apple,give me one apple,0.0,0.0
P-016_Cls_205.wav,She ate four oranges.,She ate four oranges.,she ate four oranges,she ate four oranges,0.0,0.0
P-016_ECV_156.wav,He died.,He died.,he died,he died,0.0,0.0
P-016_ECV_164.wav,Emaan kicked me and ran away.,Emaan kicked me and ran away.,emaan kicked me and ran away,emaan kicked me and ran away,0.0,0.0
P-016_ECV_169.wav,"He came, sat, ate and went away.","He came, sat, ate and went away.",he came sat ate and went away,he came sat ate and went away,0.0,0.0
P-016_ECV_171.wav,Finish your work and come home.,Finish your work and come home.,finish your work and come home,finish your work and come home,0.0,0.0
P-016_ECV_176.wav,"After studying, he played outside.","After studying, he played outside.",after studying he played outside,after studying he played outside,0.0,0.0
P-016_ECV_180.wav,He looked at me and smiled.,He looked at me and smiled.,he looked at me and smiled,he looked at me and smiled,0.0,0.0
P-016_Imp_466.wav,Come here.,Come here.,come here,come here,0.0,0.0
P-016_Imp_468.wav,Sit down.,Sit down.,sit down,sit down,0.0,0.0
P-016_Imp_471.wav,Look at me.,Look at me.,look at me,look at me,0.0,0.0
P-016_Imp_473.wav,Write your name.,Write your name.,write your name,write your name,0.0,0.0
P-016_Imp_483.wav,Do not speak loudly.,Do not speak loudly.,do not speak loudly,do not speak loudly,0.0,0.0
P-016_Imp_487.wav,Sit and listen.,Sit and listen.,sit and listen,sit and listen,0.0,0.0
P-016_Imp_490.wav,Wash your hands before eating.,Wash your hands before eating.,wash your hands before eating,wash your hands before eating,0.0,0.0
P-016_Imp_491.wav,Please wait a moment.,Please wait a moment.,please wait a moment,please wait a moment,0.0,0.0
P-016_Imp_492.wav,Please help the children.,Please help the children.,please help the children,please help the children,0.0,0.0
P-016_Imp_493.wav,Let them come inside.,Let them come inside.,let them come inside,let them come inside,0.0,0.0
P-016_Int_216.wav,Who is coming with you?,Who is coming with you?,who is coming with you,who is coming with you,0.0,0.0
P-016_Int_222.wav,Did you eat?,Did you eat?,did you eat,did you eat,0.0,0.0
P-016_Int_228.wav,How many people are here?,How many people are here?,how many people are here,how many people are here,0.0,0.0
P-016_Int_230.wav,Do you have money?,Do you have money?,do you have money,do you have money,0.0,0.0
P-016_Int_235.wav,Where should we meet?,Where should we meet?,where should we meet,where should we meet,0.0,0.0
P-016_Int_240.wav,When did you see him?,When did you see him?,when did you see him,when did you see him,0.0,0.0
P-016_Int_347.wav,Who came yesterday?,Who came yesterday?,who came yesterday,who came yesterday,0.0,0.0
P-016_Int_360.wav,Who gave you money?,Who gave you money?,who gave you money,who gave you money,0.0,0.0
P-016_Int_362.wav,Where did she come from?,Where did she come from?,where did she come from,where did she come from,0.0,0.0
P-016_Int_363.wav,Who are you going with?,Who are you going with?,who are you going with,who are you going with,0.0,0.0
P-016_Int_364.wav,Where did he put the books?,Where did he put the books?,where did he put the books,where did he put the books,0.0,0.0
P-016_Int_365.wav,Do you have a headache?,Do you have a headache?,do you have a headache,do you have a headache,0.0,0.0
P-016_Int_366.wav,Whose child is this?,Whose child is this?,whose child is this,whose child is this,0.0,0.0
P-016_Int_370.wav,May I open the door?,May I open the door?,may i open the door,may i open the door,0.0,0.0
P-016_Neg_103.wav,I had not eaten yet.,I had not eaten yet.,i had not eaten yet,i had not eaten yet,0.0,0.0
P-016_Neg_107.wav,I do not know.,I do not know.,i do not know,i do not know,0.0,0.0
P-016_Neg_108.wav,Do not enter.,Do not enter.,do not enter,do not enter,0.0,0.0
P-016_Neg_111.wav,I think he will not come.,I think he will not come.,i think he will not come,i think he will not come,0.0,0.0
P-016_Neg_113.wav,I never drink juice.,I never drink juice.,i never drink juice,i never drink juice,0.0,0.0
P-016_Neg_116.wav,Nothing can be done about his illness.,Nothing can be done about his illness.,nothing can be done about his illness,nothing can be done about his illness,0.0,0.0
P-016_Neg_119.wav,Not even my sister believed me.,Not even my sister believed me.,not even my sister believed me,not even my sister believed me,0.0,0.0
P-016_Neg_94c.wav,She (right here) is not a teacher.,She (right here) is not a teacher.,she right here is not a teacher,she right here is not a teacher,0.0,0.0
P-016_Neg_98.wav,We will not upset you.,We will not upset you.,we will not upset you,we will not upset you,0.0,0.0
P-016_Neg_99.wav,You must not move now.,You must not move now.,you must not move now,you must not move now,0.0,0.0
P-016_Pas_436.wav,The door was opened.,Open the door.,the door was opened,open the door,75.0,84.21
P-016_Pas_440.wav,The house was built last year.,The house was built last year.,the house was built last year,the house was built last year,0.0,0.0
