filename,reference,hypothesis,references_normalized,hypothesis_normalized,sample_wer_%,sample_cer_%
41909276.wav,The fire got angry,The fire burned very much.,the fire got angry,the fire burned very much,75.0,77.78
41909278.wav,I am eating potatoes now,I am eating potatoes now.,i am eating potatoes now,i am eating potatoes now,0.0,0.0
41909306.wav,I became happy seeing you,I am happy to see you.,i became happy seeing you,i am happy to see you,60.0,40.0
41909325.wav,There is one man,There is a man,there is one man,there is a man,25.0,18.75
41909804.wav,I am eating potatoes now,I have a stomach ache.,i am eating potatoes now,i have a stomach ache,80.0,79.17
41909810.wav,"From here, at the next turn, there’s a shop with a green door; you’ll find it there",This road is called the Shigam Hing shop in Maraq.,from here at the next turn there’s a shop with a green door you’ll find it there,this road is called the shigam hing shop in maraq,94.12,75.0
41909812.wav,It a good day,It is 20 days.,it a good day,it is 20 days,75.0,53.85
41909818.wav,It’s been raining heavily since yesterday,It is raining yesterday.,it’s been raining heavily since yesterday,it is raining yesterday,66.67,48.78
41909822.wav,He made us fly in the plane,He flew us in a plane.,he made us fly in the plane,he flew us in a plane,42.86,40.74
41909825.wav,Tell me the truth,Don’t speak English.,tell me the truth,don’t speak english,100.0,88.24
41909835.wav,Congratulations to you,Congratulations.,congratulations to you,congratulations,66.67,31.82
41909842.wav,There are potatoes in this shopper,These are potatoes in a pot.,there are potatoes in this shopper,these are potatoes in a pot,50.0,32.35
41909848.wav,The girl went running to hit the cat,"Run, you are going to get burnt by the fire.",the girl went running to hit the cat,run you are going to get burnt by the fire,100.0,83.33
41909851.wav,Who’s there?,Who is it?,who’s there,who is it,150.0,63.64
P-009_Adp_408.wav,They are on the roof.,They were on the roof.,they are on the roof,they were on the roof,20.0,10.0
P-009_Adp_432.wav,The bus stopped near the bridge.,The bus stopped near the bridge.,the bus stopped near the bridge,the bus stopped near the bridge,0.0,0.0
P-009_Case_45.wav,She wrote with a pen.,She wrote with a pen.,she wrote with a pen,she wrote with a pen,0.0,0.0
P-009_Case_47.wav,We are at home.,We are at home.,we are at home,we are at home,0.0,0.0
P-009_Case_56.wav,I shall go to the north tomorrow.,I shall go to the north tomorrow.,i shall go to the north tomorrow,i shall go to the north tomorrow,0.0,0.0
P-009_Case_58.wav,Ali went with Ahmed.,Ahmed went.,ali went with ahmed,ahmed went,75.0,78.95
P-009_Case_62.wav,He cut the meat with a knife.,He cut the meat with a knife.,he cut the meat with a knife,he cut the meat with a knife,0.0,0.0
P-009_Case_63.wav,The children came from the river.,The children came from the river.,the children came from the river,the children came from the river,0.0,0.0
P-009_Cau_316.wav,Mother made me go outside.,Mother made me go outside.,mother made me go outside,mother made me go outside,0.0,0.0
P-009_Cau_323.wav,The house was burnt by the thieves.,The house was burnt by the thieves.,the house was burnt by the thieves,the house was burnt by the thieves,0.0,0.0
P-009_Cau_325.wav,The chair was broken by the children.,The chair was broken by the children.,the chair was broken by the children,the chair was broken by the children,0.0,0.0
P-009_Cau_333.wav,The rain made the road muddy.,The road was muddy.,the rain made the road muddy,the road was muddy,66.67,46.43
P-009_Cau_334.wav,The cold weather made him sick.,The cold weather made him sick.,the cold weather made him sick,the cold weather made him sick,0.0,0.0
P-009_Cau_341.wav,The heat made the ice melt.,The heat made the ice melt.,the heat made the ice melt,the heat made the ice melt,0.0,0.0
P-009_Cau_344.wav,The teacher made them read the story again.,The teacher made them read the story again.,the teacher made them read the story again,the teacher made them read the story again,0.0,0.0
P-009_Cls_187.wav,This is a tall tree.,This is a tall tree.,this is a tall tree,this is a tall tree,0.0,0.0
P-009_Cls_191.wav,This is a door.,This is a door.,this is a door,this is a door,0.0,0.0
P-009_Cls_197.wav,Tie them with a rope.,They are not wearing the gash.,tie them with a rope,they are not wearing the gash,120.0,100.0
P-009_Cls_199.wav,There are two books on the table.,There are two books on the table.,there are two books on the table,there are two books on the table,0.0,0.0
P-009_Cls_205.wav,She ate four oranges.,She ate four oranges.,she ate four oranges,she ate four oranges,0.0,0.0
P-009_ECV_159.wav,He fell down.,He fell down.,he fell down,he fell down,0.0,0.0
P-009_ECV_161.wav,She called me.,She called me.,she called me,she called me,0.0,0.0
P-009_ECV_172.wav,"He stood up, picked the bag, and left.","He stood up, picked the bag, and left.",he stood up picked the bag and left,he stood up picked the bag and left,0.0,0.0
P-009_ECV_173.wav,She cooked food and served the children.,She cooked food and served the children.,she cooked food and served the children,she cooked food and served the children,0.0,0.0
P-009_ECV_176.wav,"After studying, he played outside.","After studying, he played outside.",after studying he played outside,after studying he played outside,0.0,0.0
P-009_ECV_180.wav,He looked at me and smiled.,He looked at me and smiled.,he looked at me and smiled,he looked at me and smiled,0.0,0.0
P-009_Imp_479.wav,Wait here.,Wait here.,wait here,wait here,0.0,0.0
P-009_Imp_480.wav,Speak slowly.,Speak slowly.,speak slowly,speak slowly,0.0,0.0
P-009_Imp_482.wav,Do not touch that.,Do not touch that.,do not touch that,do not touch that,0.0,0.0
P-009_Imp_484.wav,Do not run inside.,Do not walk inside.,do not run inside,do not walk inside,25.0,23.53
P-009_Imp_486.wav,Go and bring milk.,Go and bring milk.,go and bring milk,go and bring milk,0.0,0.0
P-009_Imp_491.wav,Please wait a moment.,Please wait a moment.,please wait a moment,please wait a moment,0.0,0.0
P-009_Imp_495.wav,Let her sit here.,Let her sit here.,let her sit here,let her sit here,0.0,0.0
P-009_Imp_496.wav,Bring the children inside.,Bring the children inside.,bring the children inside,bring the children inside,0.0,0.0
P-009_Int_223.wav,Can you help me?,Can you help me?,can you help me,can you help me,0.0,0.0
P-009_Int_224.wav,Will he come tomorrow?,Will he come tomorrow?,will he come tomorrow,will he come tomorrow,0.0,0.0
P-009_Int_226.wav,Do you know her?,Do you know her?,do you know her,do you know her,0.0,0.0
P-009_Int_227.wav,What did she say?,What did she say?,what did she say,what did she say,0.0,0.0
P-009_Int_232.wav,Where did they go last night?,Where did they go last night?,where did they go last night,where did they go last night,0.0,0.0
P-009_Int_235.wav,Where should we meet?,Where should we meet?,where should we meet,where should we meet,0.0,0.0
P-009_Int_239.wav,Why are they shouting?,Why are they shouting?,why are they shouting,why are they shouting,0.0,0.0
P-009_Int_354.wav,Are you feeling better now?,Are you feeling better now?,are you feeling better now,are you feeling better now,0.0,0.0
P-009_Int_365.wav,Do you have a headache?,Do you have a headache?,do you have a headache,do you have a headache,0.0,0.0
P-009_Int_366.wav,Whose child is this?,Whose child is this?,whose child is this,whose child is this,0.0,0.0
P-009_Neg_104.wav,He left without informing anyone.,He left without informing anyone.,he left without informing anyone,he left without informing anyone,0.0,0.0
P-009_Neg_110.wav,I did not play today.,I did not play today.,i did not play today,i did not play today,0.0,0.0
P-009_Neg_122.wav,The bird is no longer on the tree.,The bird is no longer on the tree.,the bird is no longer on the tree,the bird is no longer on the tree,0.0,0.0
P-009_Neg_95.wav,There is no water in the river.,There is no water in the river.,there is no water in the river,there is no water in the river,0.0,0.0
P-009_Neg_96.wav,He cannot sing.,He (right here) will study after he reaches there.,he cannot sing,he right here will study after he reaches there,266.67,292.86
P-009_Neg_97.wav,You may not go now.,You may not go now.,you may not go now,you may not go now,0.0,0.0
P-009_Pas_438.wav,The food was cooked.,The food was cooked.,the food was cooked,the food was cooked,0.0,0.0
P-009_Pas_439.wav,The food was cooked by her.,The food was cooked by her.,the food was cooked by her,the food was cooked by her,0.0,0.0
P-009_Pas_441.wav,The house was built by them.,The house was built by them.,the house was built by them,the house was built by them,0.0,0.0
P-009_Pas_442.wav,The letter was written.,The letter was written.,the letter was written,the letter was written,0.0,0.0
P-009_Pas_448.wav,The rice will be cooked.,The rice will be cooked.,the rice will be cooked,the rice will be cooked,0.0,0.0
P-009_Pas_451.wav,The tree was cut down by the men.,The man was cut down by the men.,the tree was cut down by the men,the man was cut down by the men,12.5,12.5
P-009_Pas_452.wav,The girl was taught by her mother.,The girl was old.,the girl was taught by her mother,the girl was old,57.14,57.58
P-009_Pas_455.wav,The baby was carried.,The baby is crying.,the baby was carried,the baby is crying,50.0,30.0
P-009_Pas_463.wav,The vegetables are washed before cooking.,They washed the clothes with water.,the vegetables are washed before cooking,they washed the clothes with water,100.0,72.5
P-009_Pas_464.wav,The bridge was destroyed by the flood.,The bridge was destroyed by the flood.,the bridge was destroyed by the flood,the bridge was destroyed by the flood,0.0,0.0
P-009_Pos_377.wav,She has a new phone.,She has a new phone.,she has a new phone,she has a new phone,0.0,0.0
P-009_Pos_378.wav,They have a car.,They have a car.,they have a car,they have a car,0.0,0.0
P-009_Pos_380.wav,We have three goats.,We have three goats.,we have three goats,we have three goats,0.0,0.0
P-009_Pos_381.wav,She has a daughter.,She has a daughter.,she has a daughter,she has a daughter,0.0,0.0
P-009_Pos_392.wav,The school has many teachers.,The school has many teachers.,the school has many teachers,the school has many teachers,0.0,0.0
P-009_Pos_398.wav,The river has clear water.,The river has clear water.,the river has clear water,the river has clear water,0.0,0.0
P-009_Pro_245.wav,You are late.,You are late.,you are late,you are late,0.0,0.0
P-009_Pro_246.wav,She is sleeping.,She has a daughter.,she is sleeping,she has a daughter,100.0,80.0
P-009_Pro_251.wav,She gave it to me.,She gave it to me.,she gave it to me,she gave it to me,0.0,0.0
P-009_Pro_255.wav,That is your book.,That is your book.,that is your book,that is your book,0.0,0.0
P-009_Pro_265.wav,That is a big tree.,That is a big tree.,that is a big tree,that is a big tree,0.0,0.0
P-009_Pro_274.wav,He came yesterday.,He came yesterday.,he came yesterday,he came yesterday,0.0,0.0
P-009_Pro_277.wav,We will meet later.,We will meet later.,we will meet later,we will meet later,0.0,0.0
P-009_Pro_278.wav,They already left.,They already left.,they already left,they already left,0.0,0.0
P-009_Ref_132.wav,Muhammad and Ahmad looked at each other.,Muhammad and Ahmad looked at each other.,muhammad and ahmad looked at each other,muhammad and ahmad looked at each other,0.0,0.0
P-009_Ref_133.wav,We met each other.,We met each other.,we met each other,we met each other,0.0,0.0
P-009_Ref_137.wav,They defended themselves in court.,They defended themselves in court.,they defended themselves in court,they defended themselves in court,0.0,0.0
P-009_Ref_140.wav,She taught herself to read.,She taught herself to read.,she taught herself to read,she taught herself to read,0.0,0.0
P-009_Ref_150.wav,The two teams competed against each other.,The two teams competed against each other.,the two teams competed against each other,the two teams competed against each other,0.0,0.0
P-009_Simple_13a.wav,She (right here) said that the woman is sleeping on the floor.,She (right here) said that the woman is sleeping on the floor.,she right here said that the woman is sleeping on the floor,she right here said that the woman is sleeping on the floor,0.0,0.0
P-009_Simple_14.wav,I want to go to the town tonight.,I want to go to the town tonight.,i want to go to the town tonight,i want to go to the town tonight,0.0,0.0
P-009_Simple_18.wav,I will go when my mother comes.,I will go when my mother comes.,i will go when my mother comes,i will go when my mother comes,0.0,0.0
P-009_Simple_28.wav,We waited until the bus arrived.,We waited until the bus arrived.,we waited until the bus arrived,we waited until the bus arrived,0.0,0.0
P-009_Simple_4.wav,I am Ali.,I am Ali.,i am ali,i am ali,0.0,0.0
P-009_Simple_5a.wav,Her (right here) name is Fatima.,Her (right here) name is Fatima.,her right here name is fatima,her right here name is fatima,0.0,0.0
P-009_Simple_7b.wav,She (not here) saw a man.,She (not here) saw a man.,she not here saw a man,she not here saw a man,0.0,0.0
P-009_TAM_67.wav,I fell down when she pushed me.,I fell down when she pushed me.,i fell down when she pushed me,i fell down when she pushed me,0.0,0.0
P-009_TAM_68.wav,I walk to the field every day.,I walk to the field every day.,i walk to the field every day,i walk to the field every day,0.0,0.0
P-009_TAM_71.wav,I could have taken the bus if I had money.,I could have taken the bus if I had money.,i could have taken the bus if i had money,i could have taken the bus if i had money,0.0,0.0
P-009_TAM_72b.wav,We are headed to the market now.,We are headed to the market now.,we are headed to the market now,we are headed to the market now,0.0,0.0
P-009_TAM_87.wav,She has already walked to the village.,She has already walked to the village.,she has already walked to the village,she has already walked to the village,0.0,0.0
P-009_Val_281.wav,The door opened.,The door opened.,the door opened,the door opened,0.0,0.0
P-009_Val_290.wav,They turned off the light.,They turned off the light.,they turned off the light,they turned off the light,0.0,0.0
P-009_Val_294.wav,The girl danced.,The girl danced.,the girl danced,the girl danced,0.0,0.0
P-009_Val_296.wav,The man ran.,The man ran.,the man ran,the man ran,0.0,0.0
P-009_Val_301.wav,The fire burned.,The fire burned.,the fire burned,the fire burned,0.0,0.0
P-009_Val_302.wav,They burned the firewood.,They burned the firewood.,they burned the firewood,they burned the firewood,0.0,0.0
P-009_Val_310.wav,The teacher spoke to the class.,The teacher spoke to the class.,the teacher spoke to the class,the teacher spoke to the class,0.0,0.0
P-009_Val_313.wav,The ball rolled.,The ball rolled.,the ball rolled,the ball rolled,0.0,0.0
P-016_Adp_415.wav,The key is inside the box.,The key is inside the box.,the key is inside the box,the key is inside the box,0.0,0.0
P-016_Adp_422.wav,He fell from the tree.,He fell from the tree.,he fell from the tree,he fell from the tree,0.0,0.0
P-016_Adp_428.wav,They built the wall with stones.,They built the wall with stones.,they built the wall with stones,they built the wall with stones,0.0,0.0
P-016_Adp_429.wav,The school is far from here.,The school is far from here.,the school is far from here,the school is far from here,0.0,0.0
P-016_Adp_431.wav,We walked through the forest.,We walked through the forest.,we walked through the forest,we walked through the forest,0.0,0.0
P-016_Case_31.wav,He (not here) kicked the ball.,He (not here) kicked the ball.,he not here kicked the ball,he not here kicked the ball,0.0,0.0
P-016_Case_46.wav,My sister is in school.,My sister is in school.,my sister is in school,my sister is in school,0.0,0.0
P-016_Case_48.wav,He wrote the letter with a pen.,He wrote the letter with a pen.,he wrote the letter with a pen,he wrote the letter with a pen,0.0,0.0
P-016_Case_51.wav,My sister is in school.,My sister is in school.,my sister is in school,my sister is in school,0.0,0.0
P-016_Case_53.wav,Leaves are falling down from the tree.,Leaves are falling down from the tree.,leaves are falling down from the tree,leaves are falling down from the tree,0.0,0.0
P-016_Case_55.wav,He is in the house.,He is in the house.,he is in the house,he is in the house,0.0,0.0
P-016_Case_60.wav,He came with his friend.,He came with his friend.,he came with his friend,he came with his friend,0.0,0.0
P-016_Cau_315.wav,The nurse fed the baby.,The nurse fed the baby.,the nurse fed the baby,the nurse fed the baby,0.0,0.0
P-016_Cau_318.wav,I made the girl clean the room with a broom.,I made the girl clean the room with a broom.,i made the girl clean the room with a broom,i made the girl clean the room with a broom,0.0,0.0
P-016_Cau_319.wav,I made the girl ask the maid to clean the room.,I made the girl ask the maid to clean the room.,i made the girl ask the maid to clean the room,i made the girl ask the maid to clean the room,0.0,0.0
P-016_Cau_321.wav,Aqsa made him food.,Aqsa made him food.,aqsa made him food,aqsa made him food,0.0,0.0
P-016_Cau_324.wav,"Because of bad weather, we could not go to the village.","Because of bad weather, we could not go to the village.",because of bad weather we could not go to the village,because of bad weather we could not go to the village,0.0,0.0
P-016_Cau_326.wav,I am unable to walk.,I am unable to walk.,i am unable to walk,i am unable to walk,0.0,0.0
P-016_Cau_330.wav,The parents made the boy study.,The parents made the boy study.,the parents made the boy study,the parents made the boy study,0.0,0.0
P-016_Cau_334.wav,The cold weather made him sick.,The cold weather made him sick.,the cold weather made him sick,the cold weather made him sick,0.0,0.0
P-016_Cau_336.wav,The wind made the trees fall.,The wind made the trees fall.,the wind made the trees fall,the wind made the trees fall,0.0,0.0
P-016_Cau_337.wav,The doctor made me take medicine.,The children ate the rice.,the doctor made me take medicine,the children ate the rice,83.33,59.38
P-016_Cau_340.wav,They made her clean the house.,They made her clean the house.,they made her clean the house,they made her clean the house,0.0,0.0
P-016_Cau_343.wav,The joke made everyone laugh.,The joke made everyone laugh.,the joke made everyone laugh,the joke made everyone laugh,0.0,0.0
P-016_Cls_196.wav,Do not beat the student with a stick.,Do not beat the student with a stick.,do not beat the student with a stick,do not beat the student with a stick,0.0,0.0
P-016_Cls_199.wav,There are two books on the table.,There are two books on the table.,there are two books on the table,there are two books on the table,0.0,0.0
P-016_Cls_202.wav,Give me one apple.,Give me one apple.,give me one apple,give me one apple,0.0,0.0
P-016_Cls_205.wav,She ate four oranges.,She ate four oranges.,she ate four oranges,she ate four oranges,0.0,0.0
P-016_ECV_156.wav,He died.,He died.,he died,he died,0.0,0.0
P-016_ECV_164.wav,Emaan kicked me and ran away.,Emaan kicked me and ran away.,emaan kicked me and ran away,emaan kicked me and ran away,0.0,0.0
P-016_ECV_169.wav,"He came, sat, ate and went away.","He came, sat, ate and went away.",he came sat ate and went away,he came sat ate and went away,0.0,0.0
P-016_ECV_171.wav,Finish your work and come home.,Finish your work and come home.,finish your work and come home,finish your work and come home,0.0,0.0
P-016_ECV_176.wav,"After studying, he played outside.",The children played with the bird.,after studying he played outside,the children played with the bird,120.0,78.12
P-016_ECV_180.wav,He looked at me and smiled.,He looked at me and smiled.,he looked at me and smiled,he looked at me and smiled,0.0,0.0
P-016_Imp_466.wav,Come here.,Come here.,come here,come here,0.0,0.0
P-016_Imp_468.wav,Sit down.,Sit down.,sit down,sit down,0.0,0.0
P-016_Imp_471.wav,Look at me.,Look at me.,look at me,look at me,0.0,0.0
P-016_Imp_473.wav,Write your name.,Write your name.,write your name,write your name,0.0,0.0
P-016_Imp_483.wav,Do not speak loudly.,Do not speak loudly.,do not speak loudly,do not speak loudly,0.0,0.0
P-016_Imp_487.wav,Sit and listen.,Sit and listen.,sit and listen,sit and listen,0.0,0.0
P-016_Imp_490.wav,Wash your hands before eating.,Wash your hands before eating.,wash your hands before eating,wash your hands before eating,0.0,0.0
P-016_Imp_491.wav,Please wait a moment.,Please wait a moment.,please wait a moment,please wait a moment,0.0,0.0
P-016_Imp_492.wav,Please help the children.,Please help the children.,please help the children,please help the children,0.0,0.0
P-016_Imp_493.wav,Let them come inside.,Let them come inside.,let them come inside,let them come inside,0.0,0.0
P-016_Int_216.wav,Who is coming with you?,Who is coming with you?,who is coming with you,who is coming with you,0.0,0.0
P-016_Int_222.wav,Did you eat?,Did you eat?,did you eat,did you eat,0.0,0.0
P-016_Int_228.wav,How many people are here?,How many people are here?,how many people are here,how many people are here,0.0,0.0
P-016_Int_230.wav,Do you have money?,Do you have money?,do you have money,do you have money,0.0,0.0
P-016_Int_235.wav,Where should we meet?,We are not together.,where should we meet,we are not together,100.0,70.0
P-016_Int_240.wav,When did you see him?,When did you see him?,when did you see him,when did you see him,0.0,0.0
P-016_Int_347.wav,Who came yesterday?,Who came yesterday?,who came yesterday,who came yesterday,0.0,0.0
P-016_Int_360.wav,Who gave you money?,Who gave you money?,who gave you money,who gave you money,0.0,0.0
P-016_Int_362.wav,Where did she come from?,Where did she come from?,where did she come from,where did she come from,0.0,0.0
P-016_Int_363.wav,Who are you going with?,Who are you going with?,who are you going with,who are you going with,0.0,0.0
P-016_Int_364.wav,Where did he put the books?,Where did he put the books?,where did he put the books,where did he put the books,0.0,0.0
P-016_Int_365.wav,Do you have a headache?,Do you have a headache?,do you have a headache,do you have a headache,0.0,0.0
P-016_Int_366.wav,Whose child is this?,Whose child is this?,whose child is this,whose child is this,0.0,0.0
P-016_Int_370.wav,May I open the door?,Will you open the door?,may i open the door,will you open the door,40.0,36.84
P-016_Neg_103.wav,I had not eaten yet.,I had not eaten yet.,i had not eaten yet,i had not eaten yet,0.0,0.0
P-016_Neg_107.wav,I do not know.,I do not know.,i do not know,i do not know,0.0,0.0
P-016_Neg_108.wav,Do not enter.,Do not enter.,do not enter,do not enter,0.0,0.0
P-016_Neg_111.wav,I think he will not come.,I don’t think he will come.,i think he will not come,i don’t think he will come,33.33,41.67
P-016_Neg_113.wav,I never drink juice.,I never drink juice.,i never drink juice,i never drink juice,0.0,0.0
P-016_Neg_116.wav,Nothing can be done about his illness.,Nothing can be done about his illness.,nothing can be done about his illness,nothing can be done about his illness,0.0,0.0
P-016_Neg_119.wav,Not even my sister believed me.,I also used to trust my sister.,not even my sister believed me,i also used to trust my sister,116.67,86.67
P-016_Neg_94c.wav,She (right here) is not a teacher.,She (right here) is not a teacher.,she right here is not a teacher,she right here is not a teacher,0.0,0.0
P-016_Neg_98.wav,We will not upset you.,We will not upset you.,we will not upset you,we will not upset you,0.0,0.0
P-016_Neg_99.wav,You must not move now.,You must not move now.,you must not move now,you must not move now,0.0,0.0
P-016_Pas_436.wav,The door was opened.,Open the door.,the door was opened,open the door,75.0,84.21
P-016_Pas_440.wav,The house was built last year.,The house was built last year.,the house was built last year,the house was built last year,0.0,0.0
P-016_Pas_442.wav,The letter was written.,The letter was written.,the letter was written,the letter was written,0.0,0.0
